OBJECTID,beat,shape_Length,shape_Area
1, ,281454.890455164,209102721.057483
2,B1,53375.2654982054,112144227.747356
3,E2,15395.5218411122,8499078.17365826
4,E3,11960.8479759393,8586444.40444121
5,B2,44021.5117723839,65497481.4629677
6,B3,35910.9406724507,53502045.1126883
7,C1,36812.2755841286,47821037.3210657
8,C2,16038.0404373744,10658004.228059
9,F2,23915.3556182345,32093228.0618398
10,K1,9303.51071072152,4109610.48060666
11,K2,10899.6681737979,5772249.46343343
12,C3,45070.0720499026,76660021.7929616
13,D1,24131.6820773914,23442448.2637656
14,D2,25342.8759351046,17200032.0428797
15,D3,12355.6016375982,7075373.84790179
16,E1,13203.8555833586,6379812.38357124
17,F1,61014.8527026929,88226072.1311524
18,S3,48667.9766137261,49786034.4902197
19,F3,42936.42135057,62461478.3032487
20,G1,18038.313735289,14840382.7190249
21,G2,20208.2863137773,19358489.8942254
22,G3,29503.1776358032,35075413.5828629
23,H1,337321.561034706,1172321021.56849
24,H2,96067.5671193032,44707436.6866953
25,H3,215388.609001694,333103066.568536
26,J1,36776.1668721366,69461052.832269
27,J2,32077.4806683256,39166266.2347269
28,J3,26802.3258004884,40897430.8014265
29,K3,29933.0839169288,34095673.8201455
30,L1,33153.515429515,57840630.1198885
31,L2,40064.2232131999,62851190.6712761
32,L3,71638.0518448731,173761523.640054
33,M1,14596.1230273461,8532569.68202387
34,M2,9783.30927822388,5376901.61325979
35,M3,12745.3645483625,7194394.82165498
36,N1,38090.0341671078,56119006.2186889
37,N2,24554.9191241797,25510288.9500661
38,N3,41421.7860742661,45410069.9790016
39,O1,26202.9174287495,30465998.2687226
40,O2,49869.00710623,77233855.8524429
41,S1,27316.2992804767,31779979.5221085
42,O3,63702.1109067924,85437932.5420417
43,Q1,54664.2768108804,142456327.839606
44,Q2,34332.5022147707,55752411.5193228
45,Q3,23305.3823895789,25393587.0870264
46,R1,36292.3882252191,47051159.9936682
47,R2,38189.8546296857,58858506.9923476
48,U2,40573.1795883188,45343656.075725
49,R3,45674.4354772914,61990350.3722883
50,S2,42261.2306720716,39154447.3913079
51,U1,42480.2581341879,68559395.4893994
52,U3,12676.9635012684,9230530.14767669
53,W1,75588.0559143154,110516266.341748
54,W2,45074.4225856378,76042190.1791956
55,W3,54942.4445141024,103771626.821707
